"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","rejects when caller is not OWNER[jvm]","","2026-07-21","passed","2026-07-21","","SendInviteUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SendInviteUseCaseTest",""
"","2","actual → planned unwinds impact[jvm]","","2026-07-21","passed","2026-07-21","","ApplyTransactionChangeUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.ApplyTransactionChangeUseCaseTest",""
"","31","future format version surfaces FormatMismatch[jvm]","","2026-07-21","passed","2026-07-21","","BackupImporterImplJvmTest[jvm]","com.georgeci.moneysurfer.data.backup.BackupImporterImplJvmTest",""
"","5","unparseable operation date is rejected as invalid operation_date[jvm]","","2026-07-21","passed","2026-07-21","","TransactionCsvCodecTest[jvm]","com.georgeci.moneysurfer.domain.csv.TransactionCsvCodecTest",""
"","21","insert with unknown workspaceId is allowed (no FK on workspace_invites.workspaceId)[jvm]","","2026-07-21","passed","2026-07-21","","WorkspaceInviteRepositoryIntegrationIT[jvm]","com.georgeci.moneysurfer.integration.repository.WorkspaceInviteRepositoryIntegrationIT",""
"","37","stranger cannot transition someone else's invite","","2026-07-21","passed","2026-07-21","","invites — update / delete","invites — update / delete stranger cannot transition someone else's invite",""
"","3","malformed -> null[jvm]","","2026-07-21","passed","2026-07-21","","TimeFormatterTest[jvm]","com.georgeci.moneysurfer.data.repository.TimeFormatterTest",""
"","6","garbage without the magic prefix is rejected as InvalidArchive[jvm]","","2026-07-21","passed","2026-07-21","","EncryptedBackupCodecTest[jvm]","com.georgeci.moneysurfer.data.backup.EncryptedBackupCodecTest",""
"","6","delete unwinds impact and removes the row[jvm]","","2026-07-21","passed","2026-07-21","","ApplyTransactionChangeUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.ApplyTransactionChangeUseCaseTest",""
"","4","creates workspace, default categories, and a Cash account on first run[jvm]","","2026-07-21","passed","2026-07-21","","SeedDefaultsUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SeedDefaultsUseCaseTest",""
"","52","returns the decoded value when the document is well-formed[jvm]","","2026-07-21","passed","2026-07-21","","DecodeOrNullSpec[jvm]","com.georgeci.moneysurfer.data.sync.plugin.DecodeOrNullSpec",""
"","7","pendingCount excludes IN_FLIGHT rows[jvm]","","2026-07-21","passed","2026-07-21","","PendingMutationQueueImplSpec[jvm]","com.georgeci.moneysurfer.sync.internal.repository.PendingMutationQueueImplSpec",""
"","6","amount_minor beyond the domain cap is rejected as invalid amount_minor[jvm]","","2026-07-21","passed","2026-07-21","","TransactionCsvCodecTest[jvm]","com.georgeci.moneysurfer.domain.csv.TransactionCsvCodecTest",""
"","4","tolerates DECLINED/CANCELLED past invites for the email[jvm]","","2026-07-21","passed","2026-07-21","","SendInviteUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.SendInviteUseCaseTest",""
"","7","matches by targetUserId when email differs[jvm]","","2026-07-21","passed","2026-07-21","","AcceptInviteUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.AcceptInviteUseCaseTest",""
"","12","matches java.util.zip.CRC32 for empty input[jvm]","","2026-07-21","passed","2026-07-21","","Crc32JvmTest[jvm]","com.georgeci.moneysurfer.data.backup.Crc32JvmTest",""
"","2","CancellationException maps to SyncError.Cancelled[jvm]","","2026-07-21","passed","2026-07-21","","SyncErrorClassifierSpec[jvm]","com.georgeci.moneysurfer.sync.internal.SyncErrorClassifierSpec",""
"","11","category seed failure returns LocalWriteFailed and skips remote work and pin[jvm]","","2026-07-21","passed","2026-07-21","","CreateWorkspaceUseCaseTest[jvm]","com.georgeci.moneysurfer.domain.usecase.CreateWorkspaceUseCaseTest",""
"","2","Started title[jvm]","","2026-07-21","passed","2026-07-21","","SyncStepSpec[jvm]","com.georgeci.moneysurfer.sync.api.SyncStepSpec",""
